heroin,
oxycontin,
xanax,
valium,
ambien,
hash oil,
meth,
crack cocaine,
cocaine,
paper clips,
thumbtacks,
hay,
small volcanic rocks,
sawdust,
googly eyes,
glitter,
confetti,
chocolate shavings,
sprinkles
