hake,
salmon,
brill,
haddock,
cod,
black cod,
sole,
mackerel,
swordfish,
sea bream,
tilapia,
flounder,
smelt,
trout,
butterfish,
herring,
anchovies,
perch,
sea bass,
rockfish,
snapper,
turbot,
arctic char,
carp,
catfish,
dory,
grouper,
halibut,
monkfish,
yellowtail,
tuna,
scallop,
eel,
crab,
shrimp,
prawn,
cuttlefish,
lobster,
sturgeon,
crayfish,
langoustine,
mussels,
clam,
