chardonnay,
cabernet sauvignon,
pinot noir,
champagne,
prosecco,
sauvignon blanc,
pinot blanc,
riesling,
viognier,
sake,
port,
pale ale,
stout,
porter,
scotch ale,
IPA,
vodka,
whiskey,
gin,
rum,
brandy,
